name,category,description,external_source,external_id,status,parent_behaviors
Abuse Server Side Caching,SUB_TECHNIQUE,Adversaries leverage cached files on a server to access secret information. ,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0083.004,ACTIVE,"[{'external_id': 'PT0083', 'name': 'Abuse Cached Data'}]"
Abuse Typeahead Suggestions,TECHNIQUE,Adversaries leverage typeahead suggestions to leak information. ,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0112,ACTIVE,"[{'external_id': 'PTA0005', 'name': 'Access Data'}]"
Accept Cryptocurrency,SUB_TECHNIQUE,Adversaries accept cryptocurrencies as a form of payment. Crytocurrencies may be used as a method of anonymization,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0034.003,ACTIVE,"[{'external_id': 'PT0034', 'name': 'Integrate Payment Processor'}]"
Access Data,TACTIC,Adversaries attempt to access personal or otherwise private data. ,PRIVACY_ADVERSARIAL_FRAMEWORK,PTA0005,ACTIVE,[]
Access Private Information,TECHNIQUE,Adveraries are able to access private information for another user.,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0001,ACTIVE,"[{'external_id': 'PTA0005', 'name': 'Access Data'}]"
Access Token Abuse,TECHNIQUE,Adversaries utilize access tokens for accessing data,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0003,ACTIVE,"[{'external_id': 'PTA0005', 'name': 'Access Data'}]"
Account Creation With Existing Contact Point,SUB_TECHNIQUE,Adversaries attempt to signup with contact points for a known target (e.g. email). They use the platform behavior to determine whether this contact point is already associated with an existing account. ,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0074.001,ACTIVE,"[{'external_id': 'PT0074', 'name': 'Enumerate On-Platform Accounts'}]"
Account Rotation,SUB_TECHNIQUE,Adversaries use a pool of accounts to avoid account-based rate limiting or other detection and prevention mechanisms.,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0054.001,ACTIVE,"[{'external_id': 'PT0054', 'name': 'Operate Within Rate Limits'}]"
Acquire On Platform Assets,TECHNIQUE,Adversaries acquire assets on the platform. Assets on the platform such as user accounts may be used to access more data or to promote certain information. ,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0061,ACTIVE,"[{'external_id': 'PTA0002', 'name': 'Establish Infrastructure'}]"
Ad Reach Estimations,SUB_TECHNIQUE,Adversaries leverage side channels in ad targeting criteria to learn information about platform users,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0100.001,ACTIVE,"[{'external_id': 'PT0100', 'name': 'Collect Platform Metrics'}]"
Add Contact Points to User Account,TECHNIQUE,"Adversaries add additional contact points (e.g. email, phone) to a user's account to allow for future adversary access.",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0067,ACTIVE,"[{'external_id': 'PTA0007', 'name': 'Maintain Persistence'}]"
Analyze Image Metadata,SUB_TECHNIQUE,Adversaries use GPS location tags in EXIF or other similar metadata from media to geolocate users.,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0065.001,ACTIVE,"[{'external_id': 'PT0065', 'name': 'Geolocate User'}]"
Android Emulation,SUB_TECHNIQUE,Adversaries leverage Android emulation as a replacement for attacker hardware or for instrumenting during testing. Some adversary tactics like GPS spoofing may be simpler through an emulator. ,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0057.002,ACTIVE,"[{'external_id': 'PT0057', 'name': 'Use Device Emulation'}]"
Archived Site,SUB_TECHNIQUE,Adversaries leverage archived sites which contain both data and endpoints (current and legacy) that may be used by actors to access data indirectly or discover additional endpoints to target. ,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0083.001,ACTIVE,"[{'external_id': 'PT0083', 'name': 'Abuse Cached Data'}]"
Artificial Engagement,TECHNIQUE,Adversaries create artificial engagement to reach a larger audience. Possible motivations include increasing visibility on their posts or attempting to appear legitimate through high engagement count. ,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0025,ACTIVE,"[{'external_id': 'PTA0006', 'name': 'User Engagement'}]"
ASN Rotation,SUB_TECHNIQUE,Adversaries rotate autonomous system number (ASN) for their infrastructure to avoid correlation or tracking of their interactions with the target platform. ,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0051.002,ACTIVE,"[{'external_id': 'PT0051', 'name': 'Switch Infrastructure'}]"
Asset Takeover,TACTIC,"Adversaries directly compromise a user's asset. When an adversary takes over a user's asset, this asset may contain private data in itself or may be used to get access to user data in the future. Asset Takeover contains techniques that an adversary would use with the intent of taking over an asset that initially did not belong to them. This could include infrastructure, servers, accounts, or other assets.",PRIVACY_ADVERSARIAL_FRAMEWORK,PTA0003,ACTIVE,[]
Asset Takeover Through Reset,SUB_TECHNIQUE,Adversaries leverage account resets to take over a user account. ,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0019.002,ACTIVE,"[{'external_id': 'PT0019', 'name': 'Abuse Account Recovery Flows'}]"
Brute Force,TECHNIQUE,Adversaries use brute force to defeat a system. Examples include brute forcing confirmation codes or brute forcing passwords for a login.,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0027,ACTIVE,"[{'external_id': 'PTA0003', 'name': 'Asset Takeover'}, {'external_id': 'PTA0001', 'name': 'Reconnaissance'}]"
Brute Force Confirmation Code,SUB_TECHNIQUE,"Adversaries brute force an account recovery confirmation code, either because the code is too short, the code lacks sufficient entropy or the attacker is allowed too many attempts. ",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0019.003,ACTIVE,"[{'external_id': 'PT0019', 'name': 'Abuse Account Recovery Flows'}]"
Build Dataset,TECHNIQUE,Adversaries save accessed data from the platform to build their own dataset. The dataset can then be used for other purposes such as selling for profit or further processing. ,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0109,ACTIVE,"[{'external_id': 'PTA0008', 'name': 'Process Data'}]"
Build Revenue / Monetization,TACTIC,Adversaries make money with stolen data. These techniques are usually carried out post exploitation and including somehow monetizing the data.,PRIVACY_ADVERSARIAL_FRAMEWORK,PTA0009,ACTIVE,[]
Bypass 2FA,TECHNIQUE,Adversaries bypass second factor authentication to gain access. ,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0030,ACTIVE,"[{'external_id': 'PTA0003', 'name': 'Asset Takeover'}]"
Bypass Authentication Controls,TECHNIQUE,"Adversaries bypass authentication controls, allowing them to authenticate as another user. ",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0047,ACTIVE,"[{'external_id': 'PTA0005', 'name': 'Access Data'}]"
Bypass SPAM Filter/Controls,TECHNIQUE,Adversaries evade spam filters and controls to reach a wider audience.,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0085,ACTIVE,"[{'external_id': 'PTA0004', 'name': 'Detection / Enforcement Evasion'}]"
CAPTCHA Bypass,SUB_TECHNIQUE,"Adversaries bypass protections offered by CAPTCHA. For example, adversaries might leverage a CAPTCHA bypass service provider. ",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0055.001,ACTIVE,"[{'external_id': 'PT0055', 'name': 'Circumvent Platform Controls'}]"
Change Account Credentials,SUB_TECHNIQUE,Adversaries change account credentials. Adversaries might lock out a user from their account after taking ownership.,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0107.001,ACTIVE,"[{'external_id': 'PT0107', 'name': 'Change User Settings'}]"
Change User Settings,TECHNIQUE,"Adversaries change a user's settings. For example, a user's privacy settings may be changed to a more public one",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0107,ACTIVE,"[{'external_id': 'PTA0007', 'name': 'Maintain Persistence'}, {'external_id': 'PTA0006', 'name': 'User Engagement'}]"
Circumvent Platform Controls,TECHNIQUE,"Adversaries circumvent platform controls to maintain access to the platform. For example, adversaries may try to post on their fake accounts every month to appear like real users. ",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0055,ACTIVE,"[{'external_id': 'PTA0004', 'name': 'Detection / Enforcement Evasion'}]"
Cloaking,SUB_TECHNIQUE,Cloaking is a method to present different content to different users. Adversaries leverage cloaking to mask the true functionality of an abusive entity so the abusive functionality is only available to specific users,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0053.002,ACTIVE,"[{'external_id': 'PT0053', 'name': 'Obfuscate Identity'}]"
Clone Site,SUB_TECHNIQUE,"Adversaries leverage ""clone"" sites that attempt to contain the same information as the original platform in order to redirect traffic to their site.",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0083.005,ACTIVE,"[{'external_id': 'PT0083', 'name': 'Abuse Cached Data'}]"
Collect Platform Metrics,TECHNIQUE,Adversaries collect and use data provided by the platform. ,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0100,ACTIVE,"[{'external_id': 'PTA0005', 'name': 'Access Data'}]"
Combine Datasets,TECHNIQUE,Adversaries mix user data with other sources to draw deeper conclusions.,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0069,ACTIVE,"[{'external_id': 'PTA0008', 'name': 'Process Data'}]"
Commenting,SUB_TECHNIQUE,Adversaries artificially inflate interactivity on social media posts to make them seem more legitimate or otherwise boost their messaging.,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0025.002,ACTIVE,"[{'external_id': 'PT0025', 'name': 'Artificial Engagement'}]"
Copy Content From Local Mobile Device Storage,SUB_TECHNIQUE,Adversaries access private information by copying contents from a local mobile device,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0001.001,ACTIVE,"[{'external_id': 'PT0001', 'name': 'Access Private Information'}]"
Create Account,SUB_TECHNIQUE,Adversaries create fake accounts on-platform. The accounts may be used as a means to evade rate limits or to engage in artificial engagement,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0061.003,ACTIVE,"[{'external_id': 'PT0061', 'name': 'Acquire On Platform Assets'}]"
Create Browser Extension,SUB_TECHNIQUE,Adversaries create abusive browser extensions that may contain malicious actions such as collecting user data during web browsing,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0060.002,ACTIVE,"[{'external_id': 'PT0060', 'name': 'Create End User GUI'}]"
Create End User GUI,TECHNIQUE,Adversaries create end-user Graphical User Interfaces (GUIs) to interface with targets. The GUIs are more user-friendly to facilitate the target's interaction. These malicious GUIs often mislead the target to perform certain actions.,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0060,ACTIVE,"[{'external_id': 'PTA0002', 'name': 'Establish Infrastructure'}]"
Create Malicious App,TECHNIQUE,Malicious applications are created by adversaries to install on their targets' device. The malicious applications may collect user data and send the data to the adversary,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0101,ACTIVE,"[{'external_id': 'PTA0002', 'name': 'Establish Infrastructure'}, {'external_id': 'PTA0005', 'name': 'Access Data'}]"
Create Mobile Application,SUB_TECHNIQUE,Adversaries create abusive mobile appliactions that may contain malicious elements such as fake logins,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0060.001,ACTIVE,"[{'external_id': 'PT0060', 'name': 'Create End User GUI'}]"
Create Web-based Tool / Service,SUB_TECHNIQUE,Adversaries create web applications that may contain malicious elements such as stealing user tokens,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0060.003,ACTIVE,"[{'external_id': 'PT0060', 'name': 'Create End User GUI'}]"
Cross Platform Abuse,TECHNIQUE,"Adversaries utilize assets outside of intended platform for unintended actions. For example, adversaries use test accounts for one platform to perform actions on another platform.",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0115,ACTIVE,"[{'external_id': 'PTA0005', 'name': 'Access Data'}]"
Data Indexed by Search Engines,SUB_TECHNIQUE,Adversaries use search engines that index sites and store information from platforms. Adversaries may view the stored information through the search engine without interacting with the platform.,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0083.002,ACTIVE,"[{'external_id': 'PT0083', 'name': 'Abuse Cached Data'}]"
Data Inference,TECHNIQUE,Adversaries use data to infer information about users.,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0086,ACTIVE,"[{'external_id': 'PTA0008', 'name': 'Process Data'}]"
Deanonymization,TECHNIQUE,Adversaries de-anonymize and/or re-identify users from a dataset that was assumed to be anonymized or pseudonymized. ,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0048,ACTIVE,"[{'external_id': 'PTA0008', 'name': 'Process Data'}, {'external_id': 'PTA0001', 'name': 'Reconnaissance'}]"
Delete User Data,TECHNIQUE,Adversaries delete a user's data.,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0108,ACTIVE,"[{'external_id': 'PTA0006', 'name': 'User Engagement'}]"
Derandomization,SUB_TECHNIQUE,"By determining the entropy of a set of generated IDs, adversaries drastically improve the efficiency of brute-force scraping vectors. If the generation of IDs is not truly random, then an attacker may be able to determine the seeding algorithm and brute-force the key space more efficiently ",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0027.002,ACTIVE,"[{'external_id': 'PT0027', 'name': 'Brute Force'}]"
Detection / Enforcement Evasion,TACTIC,Adversaries attempt to circumvent detection or enforcement tooling in order to achieve their objective. The Detection/Enforcement Evasion contains techniques that an adversary would use in order hide themselves during an operation. The adversary could be taking steps to hide their identity or their actions. These techniques are often used in conjunction with other techniques under different tactics such as reconnaissance and access data.,PRIVACY_ADVERSARIAL_FRAMEWORK,PTA0004,ACTIVE,[]
Emulate Official Login Dialog,SUB_TECHNIQUE,"Adversaries emulate the official login dialog, usually in an attempt to capture user credentials",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0060.004,ACTIVE,"[{'external_id': 'PT0060', 'name': 'Create End User GUI'}]"
Encoding,SUB_TECHNIQUE,"Adversaries obfuscate their payloads through encoding to avoid detection systems. For example, a mobile app may fetch encoded code that loads a clone web view login page.",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0056.002,ACTIVE,"[{'external_id': 'PT0056', 'name': 'Obfuscate Tool'}]"
Encryption,SUB_TECHNIQUE,"Adversaries obfuscate their payloads through encryption to avoid detection systems. For example, a mobile app may fetch encrypted code that loads a clone web view login page.",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0056.003,ACTIVE,"[{'external_id': 'PT0056', 'name': 'Obfuscate Tool'}]"
Enumerate Contact Points,TECHNIQUE,Adversaries attempt to enumerate contact points such as phone numbers and email addresses. Contact points may be used to contact the user or used to identify the user.,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0082,ACTIVE,"[{'external_id': 'PTA0005', 'name': 'Access Data'}]"
Enumerate On-Platform Accounts,TECHNIQUE,Adversaries attempt to enumerate existing accounts on the platform to gauge viable targets for their attack. Enumeration may be achieved through brute forcing or other means.,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0074,ACTIVE,"[{'external_id': 'PTA0001', 'name': 'Reconnaissance'}]"
Enumerate On-Platform Assets,TECHNIQUE,"Adversaries attempt to enumerate existing assets on the platform to gauge viable targets for their attack. Assets that may be targeted include accounts, pages, and groups.",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0077,ACTIVE,"[{'external_id': 'PTA0001', 'name': 'Reconnaissance'}]"
Escalate Group Membership,SUB_TECHNIQUE,Adversaries work to escalate their privileges in social groups. Additional privileges may be desired to view the users of a group,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0105.001,ACTIVE,"[{'external_id': 'PT0105', 'name': 'Privilege Escalation'}]"
Establish Infrastructure,TACTIC,"Adversaries put together assets or 'set the stage' to carry out a campaign or operation to obtain access to private data. Establishing Infrastructure encompasses the techniques used to build out tools and resources such as servers, scripts, accounts or other capabilities to help with the successful execution of an operation.",PRIVACY_ADVERSARIAL_FRAMEWORK,PTA0002,ACTIVE,[]
Exfiltration,TECHNIQUE,"Adversaries exfiltrate data from the platform. The data exfiltrated is acquired or exfiltrated through illegitimate means, such as saving shared data outside of agreed upon systems. Data that is obtainable through platform-provided APIs are considered legitimate.",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0002,ACTIVE,"[{'external_id': 'PTA0008', 'name': 'Process Data'}]"
Exploit Default Field/Configuration To Bleed Data,SUB_TECHNIQUE,"Adversaries take advantage of items that are shown by default. For example, unmasked credit card numbers may be shown due to an error from the platform. ",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0095.001,ACTIVE,"[{'external_id': 'PT0095', 'name': 'Faulty Privacy Policy Implementation'}]"
Exploit Vulnerability,TECHNIQUE,Adversaries leverage vulnerabilities such as cross-site scripting to access data.,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0079,ACTIVE,"[{'external_id': 'PTA0005', 'name': 'Access Data'}, {'external_id': 'PTA0003', 'name': 'Asset Takeover'}]"
Extort Platform,SUB_TECHNIQUE,"Adversaries extort platforms using data they have gathered. For example, attackers may threaten to leak user data to damage a platform's reputation.",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0104.001,ACTIVE,"[{'external_id': 'PT0104', 'name': 'Extortion'}]"
Extort User,SUB_TECHNIQUE,"Adversaries extort users using data they have gathered. For example, attackers may threaten to leak personal data they have gathered about a user.",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0104.002,ACTIVE,"[{'external_id': 'PT0104', 'name': 'Extortion'}]"
Extortion,TECHNIQUE,Adversaries extort companies or users using data that have gathered to make a profit.,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0104,ACTIVE,"[{'external_id': 'PTA0009', 'name': 'Build Revenue / Monetization'}]"
Extract Contact Information From Response,SUB_TECHNIQUE,"Adversaries utilize account recovery flows to identify the contact information for a certain platform asset. For example, an account recovery flow may include which email address owns the specified asset.",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0019.001,ACTIVE,"[{'external_id': 'PT0019', 'name': 'Abuse Account Recovery Flows'}]"
Faulty Privacy Policy Implementation,TECHNIQUE,"Adversaries access data through faulty implementations of privacy policies. For example, attackers may access birthdays set to private on a user profile if the platform implements the privacy policy incorrectly.",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0095,ACTIVE,"[{'external_id': 'PTA0005', 'name': 'Access Data'}]"
First Party Tools,TECHNIQUE,Adversaries use internal first-party tooling developed by the target company. This may be indicative of a leak or other company compromise. The first-party tools may have additional privileges,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0096,ACTIVE,"[{'external_id': 'PTA0005', 'name': 'Access Data'}]"
Forced Engagement,TECHNIQUE,"Adversaries have users involuntarily engage with their content. For example, users may follow page A that is merged with page B by the adversary, leading to users following page B involuntarily.",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0080,ACTIVE,"[{'external_id': 'PTA0006', 'name': 'User Engagement'}]"
Form Social Connections,SUB_TECHNIQUE,"Adversaries perform artificial engagement by forming social connections such as adding or gaining followers, friends or subscribers. By doing so, adversaries reach a larger audience.",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0025.003,ACTIVE,"[{'external_id': 'PT0025', 'name': 'Artificial Engagement'}]"
Freemium Model,TECHNIQUE,Adversaries offer a free platform with paid premium features.,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0036,ACTIVE,"[{'external_id': 'PTA0009', 'name': 'Build Revenue / Monetization'}]"
Geolocate User,TECHNIQUE,Adversaries determine geolocation of a user. This may include data that potentially leaks location information such as an IP address. ,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0065,ACTIVE,"[{'external_id': 'PTA0005', 'name': 'Access Data'}]"
Identify Individuals Belonging to a Group,TECHNIQUE,"Adversaries attempt to identify the individuals that belong to a group. For example, adversaries may choose to only take further action on users that are within a particular interest group. ",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0081,ACTIVE,"[{'external_id': 'PTA0001', 'name': 'Reconnaissance'}]"
Identify Rate Limits,TECHNIQUE,Adversaries attempt to identify rate limits as part of their reconnaissance process. The rate limit identified may help adversaries evade detection in their later steps. ,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0076,ACTIVE,"[{'external_id': 'PTA0001', 'name': 'Reconnaissance'}]"
Identify Server Endpoints,TECHNIQUE,Adversaries identify server endpoints to understand the attack surface of the platform and the possible points of data egress. ,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0075,ACTIVE,"[{'external_id': 'PTA0001', 'name': 'Reconnaissance'}]"
Impersonate Email Sender,SUB_TECHNIQUE,"Adversaires impersonate an email sender, for example by altering email headers.",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0017.003,ACTIVE,"[{'external_id': 'PT0017', 'name': 'Impersonation'}]"
Impersonation,TECHNIQUE,"Adversaries pretend to be another person. Impersonation may be used for multiple purposes, such as to establish trust on a platform as a well-known entity, or to coerce other users into an action.",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0017,ACTIVE,"[{'external_id': 'PTA0002', 'name': 'Establish Infrastructure'}, {'external_id': 'PTA0005', 'name': 'Access Data'}, {'external_id': 'PTA0003', 'name': 'Asset Takeover'}]"
Include Third-Party SDK,SUB_TECHNIQUE,"Adversaries utilize code provided by a third-party SDK in their violating entity. For example, the SDK may include tracking elements",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0101.001,ACTIVE,"[{'external_id': 'PT0101', 'name': 'Create Malicious App'}]"
Infer Data From Metrics,TECHNIQUE,Metrics such as ad reach estimations and server response timings may be used to infer information such as user interests and existence of assets. Generally metrics come from the platform directly or other first-party sources,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0012,ACTIVE,"[{'external_id': 'PTA0008', 'name': 'Process Data'}]"
Infer Expected Response Format,SUB_TECHNIQUE,"Adversaries brute-force valid request paths or strings, but may not know which parameters are required for the request to succeed. Adversaries can use verbose error messages to understand which parameter names and value must be sent for a request to succeed. ",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0045.002,ACTIVE,"[{'external_id': 'PT0045', 'name': 'Abuse Error Handling Messages'}]"
Infer From Obfuscated Contact Point,SUB_TECHNIQUE,"Adversaries infer contact points based on obfuscated contact points provided by the platform. For example, if a platform provides the email address jsm***@com***[.]com on the profile for John Smith, they may infer his email address is jsmith@company[.]com",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0048.002,ACTIVE,"[{'external_id': 'PT0048', 'name': 'Deanonymization'}]"
Integrate Payment Processor,TECHNIQUE,Adversaries integrate 3rd party payment processor (e.g. PayPal),PRIVACY_ADVERSARIAL_FRAMEWORK,PT0034,ACTIVE,"[{'external_id': 'PTA0009', 'name': 'Build Revenue / Monetization'}]"
iOS Emulation,SUB_TECHNIQUE,"Adversaries utilize iOS emulation. For example, an abusive entity may be designed to run in Smartface and make requests appear to originate from an iOS device",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0057.001,ACTIVE,"[{'external_id': 'PT0057', 'name': 'Use Device Emulation'}]"
IP Rotation,SUB_TECHNIQUE,Adversaries rotate the origin IP addresses to avoid detection and rate limits by spreading the traffic over many IPs,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0051.001,ACTIVE,"[{'external_id': 'PT0051', 'name': 'Switch Infrastructure'}]"
Join Social Media Group(s),SUB_TECHNIQUE,Adversaries join social media groups to identify the users belonging to the group,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0081.001,ACTIVE,"[{'external_id': 'PT0081', 'name': 'Identify Individuals Belonging to a Group'}]"
Legacy App,SUB_TECHNIQUE,"Adversaries use legacy versions of an application, likely because it has fewer protections against privacy attacks",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0103.001,ACTIVE,"[{'external_id': 'PT0103', 'name': 'Use Legacy Tools'}]"
Legacy Endpoint,SUB_TECHNIQUE,"Attackers may access data through legacy endpoints that may not be as well maintained. For example, older endpoints may have less checks for unbounded count parameters",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0103.002,ACTIVE,"[{'external_id': 'PT0103', 'name': 'Use Legacy Tools'}]"
Link Contact Point To Account,SUB_TECHNIQUE,Adversaries may try to associate contact points with accounts to identify the individual owning the account,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0048.003,ACTIVE,"[{'external_id': 'PT0048', 'name': 'Deanonymization'}]"
Locally Cached Data By App,SUB_TECHNIQUE,Adversaries allow abusive app to store data locally on user's device,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0083.003,ACTIVE,"[{'external_id': 'PT0083', 'name': 'Abuse Cached Data'}]"
Lockout User,TECHNIQUE,Adversaries take action to lock a user out of their own account.,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0064,ACTIVE,"[{'external_id': 'PTA0007', 'name': 'Maintain Persistence'}]"
Logged-in Access,TECHNIQUE,Adversaries interact with the platform from a logged-in context.,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0098,ACTIVE,"[{'external_id': 'PTA0005', 'name': 'Access Data'}]"
Logged-out Access,TECHNIQUE,Adversaries interact with the platform from a logged-out context.,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0099,ACTIVE,"[{'external_id': 'PTA0005', 'name': 'Access Data'}]"
Maintain Persistence,TACTIC,"Adversaries try to maintain their foothold. When conducting operations, they may gain authorized access to accounts or systems in an attempt to get personal data. Theses techniques describe how the adversary will attempt to maintain in control of those assets and avoid being removed.",PRIVACY_ADVERSARIAL_FRAMEWORK,PTA0007,ACTIVE,[]
